Stock,Price,50 Day MA,150 Day MA,200 Day MA,52 Week Low,52 Week High,Returns_Multiple,RS_Rating,Status
JCI,106.96,106.74,95.1,91.45,67.78,112.63,1.26,90,✅ Passed Minervini
NTRS,129.25,127.28,110.98,109.4,80.54,132.18,1.24,90,✅ Passed Minervini
META,779.0,743.56,667.55,657.27,479.43,796.25,1.23,89,✅ Passed Minervini
TEL,212.56,198.88,166.76,161.51,115.38,215.22,1.23,89,✅ Passed Minervini
FOXA,57.47,57.18,54.62,53.1,39.37,62.69,1.21,89,✅ Passed Minervini
ETR,88.26,87.63,84.05,82.07,61.36,91.79,1.19,88,✅ Passed Minervini
PODD,332.13,312.22,292.01,286.65,225.37,353.5,1.19,88,✅ Passed Minervini
T,29.33,28.32,27.39,26.16,20.23,29.79,1.19,88,✅ Passed Minervini
GRMN,236.67,229.76,212.52,212.06,158.5,243.61,1.18,87,✅ Passed Minervini
ORLY,105.39,100.42,93.87,91.17,73.33,108.42,1.18,87,✅ Passed Minervini
EBAY,88.85,88.68,75.81,72.86,55.44,100.83,1.17,87,✅ Passed Minervini
AZO,4223.93,3999.21,3760.32,3642.74,2898.57,4388.11,1.16,84,✅ Passed Minervini
CBRE,162.84,154.46,138.1,137.63,108.45,167.56,1.16,86,✅ Passed Minervini
MO,64.81,62.37,58.11,56.17,45.54,67.51,1.16,86,✅ Passed Minervini
CNP,37.65,37.62,36.42,35.18,27.23,39.16,1.15,84,✅ Passed Minervini
RTX,158.58,154.48,139.09,133.99,111.21,161.26,1.15,84,✅ Passed Minervini
KLAC,990.57,908.7,799.01,769.62,548.81,1002.04,1.14,83,✅ Passed Minervini
DRI,210.04,207.51,203.85,197.68,151.84,226.68,1.13,82,✅ Passed Minervini
GL,140.86,134.88,126.61,123.11,99.63,144.0,1.13,82,✅ Passed Minervini
UBER,97.83,92.72,84.52,79.92,59.33,99.7,1.13,82,✅ Passed Minervini
CVS,73.48,67.12,65.44,61.61,42.12,75.55,1.12,82,✅ Passed Minervini
WMT,103.42,98.81,95.66,95.13,76.74,104.51,1.12,82,✅ Passed Minervini
ULTA,525.21,510.72,434.86,429.64,309.01,539.0,1.11,81,✅ Passed Minervini
WELL,165.21,163.66,153.58,147.58,120.11,170.99,1.11,81,✅ Passed Minervini
WMB,57.95,57.59,57.53,56.77,43.0,62.92,1.11,81,✅ Passed Minervini
MNST,66.16,61.79,59.86,57.64,45.7,66.75,1.09,80,✅ Passed Minervini
TDY,554.88,545.93,508.01,501.55,419.0,570.56,1.09,79,✅ Passed Minervini
ALLE,177.04,164.23,143.96,141.1,116.14,177.75,1.06,76,✅ Passed Minervini
IDXX,645.65,605.53,512.59,491.76,356.14,688.12,1.06,77,✅ Passed Minervini
LHX,284.27,270.76,237.68,232.18,190.25,286.81,1.06,77,✅ Passed Minervini
PH,754.05,735.76,669.68,668.38,485.92,779.77,1.06,76,✅ Passed Minervini
WRB,71.42,70.51,68.99,66.54,54.76,75.77,1.06,77,✅ Passed Minervini
HLT,273.88,271.46,252.06,251.77,195.81,279.81,1.05,75,✅ Passed Minervini
IBM,257.52,256.36,255.27,247.96,197.92,294.17,1.04,73,✅ Passed Minervini
VLO,162.64,145.32,132.33,131.38,97.37,163.34,1.04,73,✅ Passed Minervini
LH,274.09,265.66,250.56,246.77,208.23,282.74,1.03,72,✅ Passed Minervini
EA,172.08,163.22,150.45,148.91,114.77,180.7,1.02,72,✅ Passed Minervini
