Stock,Price,50 Day MA,150 Day MA,200 Day MA,52 Week Low,52 Week High,Returns_Multiple,RS_Rating,Status
RCL,166.57,158.25,144.37,138.54,77.5,171.51,1.33,94,✅ Passed Minervini
AXP,262.55,244.36,231.18,219.32,138.11,264.35,1.31,94,✅ Passed Minervini
MHK,154.95,144.85,126.34,120.19,76.02,164.06,1.31,94,✅ Passed Minervini
LDOS,152.73,148.69,138.82,130.99,87.28,157.05,1.3,94,✅ Passed Minervini
MMM,130.96,119.26,99.61,95.16,66.93,132.64,1.3,94,✅ Passed Minervini
BK,69.19,63.68,58.11,56.22,37.51,69.3,1.29,93,✅ Passed Minervini
FITB,41.01,39.29,36.04,34.97,21.06,41.49,1.28,93,✅ Passed Minervini
COST,892.69,857.5,796.01,761.11,522.21,919.11,1.27,92,✅ Passed Minervini
LEN,180.5,165.58,154.6,150.75,97.11,180.57,1.27,92,✅ Passed Minervini
STX,99.3,98.69,92.64,89.62,60.19,110.48,1.27,92,✅ Passed Minervini
TDG,1218.94,1137.79,1117.86,1066.84,685.93,1230.43,1.27,93,✅ Passed Minervini
HIG,115.14,107.25,100.33,95.39,66.37,115.74,1.26,91,✅ Passed Minervini
ISRG,483.32,464.49,419.71,401.85,254.85,496.18,1.26,91,✅ Passed Minervini
RTX,116.4,111.83,101.75,96.98,65.54,121.27,1.26,91,✅ Passed Minervini
WAB,173.29,161.08,155.25,147.85,97.69,173.66,1.26,91,✅ Passed Minervini
DVA,164.22,146.0,139.02,131.02,71.51,166.04,1.25,91,✅ Passed Minervini
CTAS,202.24,190.92,173.66,166.44,116.77,207.55,1.24,90,✅ Passed Minervini
HCA,394.29,360.47,332.87,318.47,212.52,401.63,1.23,90,✅ Passed Minervini
IFF,102.27,97.46,89.9,86.73,59.97,103.33,1.23,90,✅ Passed Minervini
LLY,899.3,888.66,820.68,769.17,509.23,965.15,1.23,90,✅ Passed Minervini
KEY,15.81,15.02,14.03,13.75,8.55,16.3,1.22,89,✅ Passed Minervini
PH,599.2,557.28,537.15,516.98,354.57,601.7,1.22,89,✅ Passed Minervini
BSX,82.52,78.24,73.65,69.99,48.35,84.12,1.21,89,✅ Passed Minervini
MSI,434.6,409.8,369.34,355.54,264.16,443.58,1.21,88,✅ Passed Minervini
SYF,48.31,47.29,43.65,41.77,26.11,51.44,1.21,89,✅ Passed Minervini
WELL,125.13,113.51,100.44,96.77,75.01,128.91,1.21,89,✅ Passed Minervini
NOW,885.83,810.41,768.13,757.76,527.24,899.61,1.2,88,✅ Passed Minervini
VTR,62.56,56.4,48.25,47.55,37.13,63.75,1.2,87,✅ Passed Minervini
EFX,295.71,281.41,256.48,252.15,157.83,307.44,1.19,86,✅ Passed Minervini
IP,47.75,44.63,39.76,38.31,29.6,48.77,1.19,86,✅ Passed Minervini
NVR,9485.57,8697.3,7995.68,7738.73,5210.49,9560.0,1.19,87,✅ Passed Minervini
PNC,175.15,169.28,153.99,150.58,102.47,179.35,1.19,87,✅ Passed Minervini
T,20.8,18.8,17.09,16.7,12.86,21.34,1.19,87,✅ Passed Minervini
EBAY,63.86,55.81,51.76,49.05,35.82,63.94,1.18,86,✅ Passed Minervini
IBM,208.25,187.8,176.92,172.75,127.09,212.83,1.18,86,✅ Passed Minervini
SPG,156.53,148.67,141.44,138.23,92.23,159.14,1.18,85,✅ Passed Minervini
CBRE,118.17,108.77,96.25,93.87,64.63,120.79,1.17,85,✅ Passed Minervini
ORCL,165.74,139.41,127.45,122.48,97.26,172.19,1.17,85,✅ Passed Minervini
FIS,83.31,76.59,72.28,68.88,44.91,83.88,1.16,84,✅ Passed Minervini
MAS,79.87,74.24,71.52,69.91,46.06,80.97,1.16,84,✅ Passed Minervini
GWW,1005.63,952.83,944.62,918.75,663.14,1021.32,1.15,83,✅ Passed Minervini
K,78.4,68.59,59.65,57.68,44.61,78.55,1.15,83,✅ Passed Minervini
OKE,90.4,82.19,76.61,73.46,54.87,90.67,1.15,83,✅ Passed Minervini
TRV,237.61,214.77,212.25,206.79,151.81,239.52,1.15,83,✅ Passed Minervini
TYL,579.39,565.34,490.29,472.65,361.16,598.93,1.15,83,✅ Passed Minervini
CARR,77.02,67.6,61.83,60.05,44.71,77.06,1.14,82,✅ Passed Minervini
CL,102.26,99.9,92.08,88.43,64.61,106.9,1.14,82,✅ Passed Minervini
ESS,301.57,279.84,253.21,246.05,191.4,306.97,1.14,82,✅ Passed Minervini
EXR,171.17,159.64,144.04,142.43,92.93,171.78,1.14,81,✅ Passed Minervini
PKG,208.07,192.04,180.35,174.81,136.62,212.45,1.14,82,✅ Passed Minervini
SHW,374.85,345.2,323.16,316.78,228.11,379.64,1.14,81,✅ Passed Minervini
WMT,77.84,71.94,64.81,61.67,48.89,80.24,1.14,82,✅ Passed Minervini
AFL,107.28,99.07,87.94,85.7,71.74,108.83,1.13,80,✅ Passed Minervini
COF,143.33,139.61,137.76,134.73,85.54,150.83,1.13,81,✅ Passed Minervini
FI,175.3,164.19,155.57,150.83,109.12,176.48,1.13,80,✅ Passed Minervini
HLT,219.87,213.97,207.93,201.48,145.21,228.34,1.13,80,✅ Passed Minervini
NDAQ,71.82,67.12,61.53,59.97,45.62,73.03,1.13,80,✅ Passed Minervini
PEG,82.17,76.21,69.1,66.12,50.35,82.55,1.13,79,✅ Passed Minervini
BBY,93.74,83.99,77.06,75.01,56.7,97.72,1.12,79,✅ Passed Minervini
ECL,247.95,240.8,230.77,221.52,153.61,250.56,1.12,78,✅ Passed Minervini
HBAN,14.02,13.56,12.87,12.56,8.49,14.52,1.12,79,✅ Passed Minervini
TMUS,199.85,187.63,171.43,167.56,131.87,203.41,1.12,79,✅ Passed Minervini
GEN,26.01,25.02,23.03,22.76,15.75,26.39,1.11,77,✅ Passed Minervini
ICE,161.0,152.52,139.66,135.29,102.0,161.45,1.11,77,✅ Passed Minervini
IR,93.88,92.35,91.75,88.14,59.09,101.18,1.11,77,✅ Passed Minervini
IT,507.35,478.54,460.71,458.35,323.61,515.09,1.11,78,✅ Passed Minervini
MCO,479.17,460.06,413.69,405.41,294.21,486.57,1.11,78,✅ Passed Minervini
MTB,169.0,160.03,145.49,141.37,101.75,171.1,1.11,77,✅ Passed Minervini
PNR,92.96,83.85,80.45,77.72,56.09,93.1,1.11,78,✅ Passed Minervini
AIZ,192.83,178.23,173.41,171.02,135.84,196.54,1.1,76,✅ Passed Minervini
FSLR,239.98,221.44,205.77,193.32,129.22,306.77,1.1,76,✅ Passed Minervini
GM,47.02,45.57,43.95,41.73,25.74,49.85,1.1,76,✅ Passed Minervini
VZ,41.3,38.67,37.54,36.99,26.89,42.21,1.1,76,✅ Passed Minervini
ACGL,108.36,97.86,92.59,88.17,69.27,109.06,1.09,75,✅ Passed Minervini
BRO,102.61,99.21,90.14,86.01,65.92,105.41,1.09,75,✅ Passed Minervini
GLW,42.38,40.77,35.73,34.1,23.93,45.1,1.09,74,✅ Passed Minervini
PWR,273.57,260.2,257.0,243.58,153.38,286.41,1.09,74,✅ Passed Minervini
VLTO,108.49,105.43,96.84,92.08,65.04,112.31,1.09,75,✅ Passed Minervini
ZBRA,354.52,333.16,309.4,295.24,194.59,372.93,1.09,75,✅ Passed Minervini
BX,150.96,133.46,124.35,122.55,84.53,152.33,1.08,73,✅ Passed Minervini
CBOE,211.8,195.05,183.37,181.78,148.58,213.67,1.08,73,✅ Passed Minervini
EMN,101.71,94.09,91.86,89.07,63.94,102.84,1.08,73,✅ Passed Minervini
GD,297.61,287.1,281.63,273.25,206.95,303.6,1.08,74,✅ Passed Minervini
WMB,43.99,41.94,38.57,37.07,29.93,44.24,1.08,74,✅ Passed Minervini
WTW,289.57,276.43,265.04,259.28,199.0,293.04,1.08,73,✅ Passed Minervini
ALLE,141.29,130.14,125.41,123.58,93.47,142.39,1.07,72,✅ Passed Minervini
CB,287.94,269.84,257.63,249.91,199.39,290.38,1.07,72,✅ Passed Minervini
ETR,62.68,56.54,52.59,51.32,40.49,62.96,1.07,71,✅ Passed Minervini
LMT,551.5,520.19,463.99,454.15,372.91,562.9,1.07,71,✅ Passed Minervini
OMC,97.57,91.77,89.01,87.19,67.64,98.55,1.07,71,✅ Passed Minervini
PSA,343.66,306.99,277.44,275.2,215.19,350.42,1.07,72,✅ Passed Minervini
REGN,1141.85,1120.68,1018.76,987.8,765.91,1206.03,1.07,72,✅ Passed Minervini
SW,45.79,43.3,42.84,41.02,28.58,48.14,1.07,72,✅ Passed Minervini
WRB,56.71,54.96,53.49,52.14,39.66,59.79,1.07,71,✅ Passed Minervini
ROL,50.78,48.52,46.21,45.16,31.36,51.27,1.06,70,✅ Passed Minervini
