Stock,Price,50 Day MA,150 Day MA,200 Day MA,52 Week Low,52 Week High,Returns_Multiple,RS_Rating,Status
VST,90.52,79.39,76.38,66.97,30.58,106.22,2.16,100,✅ Passed Minervini
NRG,80.07,76.9,72.35,66.61,35.07,85.77,1.66,100,✅ Passed Minervini
FICO,1884.45,1690.78,1428.72,1369.62,811.99,1907.49,1.61,99,✅ Passed Minervini
GDDY,153.9,152.99,135.75,128.36,71.15,167.65,1.6,99,✅ Passed Minervini
KKR,127.28,116.46,105.35,99.64,53.03,128.04,1.58,99,✅ Passed Minervini
HWM,94.33,89.69,78.26,72.32,42.68,97.88,1.57,99,✅ Passed Minervini
ANET,90.24,85.25,77.62,73.58,42.06,94.12,1.52,98,✅ Passed Minervini
GE,179.17,165.98,154.52,141.2,83.34,181.26,1.52,99,✅ Passed Minervini
AVGO,160.64,155.54,142.71,134.49,77.67,182.5,1.51,98,✅ Passed Minervini
IRM,112.33,102.76,85.29,79.96,53.07,114.81,1.48,98,✅ Passed Minervini
MPWR,860.19,850.93,760.85,722.24,386.95,951.76,1.48,98,✅ Passed Minervini
AXON,382.57,340.94,312.69,297.33,189.12,386.54,1.46,98,✅ Passed Minervini
TT,371.15,338.18,315.6,297.42,180.25,371.21,1.45,97,✅ Passed Minervini
PHM,139.37,125.45,115.67,111.87,67.8,140.33,1.43,97,✅ Passed Minervini
TRGP,149.04,136.62,118.89,109.86,74.64,149.43,1.42,97,✅ Passed Minervini
UHS,231.29,213.84,187.63,178.64,118.84,240.91,1.42,97,✅ Passed Minervini
PGR,251.77,225.96,209.35,197.9,133.94,255.25,1.41,96,✅ Passed Minervini
NFLX,706.91,660.33,633.84,600.62,344.73,711.33,1.39,96,✅ Passed Minervini
META,535.0,503.81,492.64,462.06,277.88,542.37,1.37,95,✅ Passed Minervini
RMD,248.72,221.05,203.4,195.6,129.75,252.98,1.37,96,✅ Passed Minervini
DHI,193.19,174.8,155.51,152.52,98.17,194.54,1.35,95,✅ Passed Minervini
ALL,186.65,173.08,164.33,158.92,104.53,187.7,1.34,95,✅ Passed Minervini
URI,764.58,705.79,675.55,647.39,379.63,781.15,1.34,95,✅ Passed Minervini
