Ticker,Returns_multiple,RS_Rating
MMM,1.0069608169945714,69.58250497017893
AOS,0.7668862030163905,29.82107355864811
ABT,0.965199195236007,63.22067594433399
ABBV,0.9756875253062599,65.00994035785288
ACN,0.6029510848073983,7.3558648111332
ADBE,0.577101957057229,5.36779324055666
AMD,0.896500498518716,50.695825049701796
AES,0.5891432666695513,6.560636182902585
AFL,0.8453948008742621,41.74950298210736
A,0.7806288816483058,33.20079522862823
APD,0.8452422137340316,41.5506958250497
ABNB,0.8394671513486068,40.55666003976143
AKAM,0.6576165354823874,12.127236580516898
ALB,0.7757993253719244,31.411530815109344
ARE,0.6165026368174462,7.952286282306163
ALGN,0.4387619167529139,1.7892644135188867
ALLE,1.0558514181284744,75.7455268389662
LNT,0.9185310930467129,55.666003976143145
ALL,0.8862104348378301,47.713717693836976
GOOGL,1.3342398220121698,92.6441351888668
GOOG,1.327577258750577,92.2465208747515
MO,1.1602287663026782,85.6858846918489
AMZN,1.0553305277668563,75.54671968190854
AMCR,0.6688598657691044,14.314115308151093
AEE,1.0056855811903003,68.78727634194831
AEP,0.8956671229865716,50.49701789264414
AXP,1.0496159191969396,74.75149105367794
AIG,0.892957083811697,49.90059642147117
AMT,0.7076416452094896,19.08548707753479
AWK,0.7841822376391495,33.59840954274354
AMP,0.9169049623151238,55.26838966202783
AME,0.9423136661542972,59.84095427435388
AMGN,0.7145507863004236,20.07952286282306
APH,1.580041708923096,96.62027833001989
ADI,0.9284540242044615,57.65407554671968
AON,0.8672168588718255,45.52683896620278
APA,0.8602296363510155,43.737574552683895
APO,1.014886856319504,70.9741550695825
AAPL,0.9299735348030108,58.4493041749503
AMAT,0.7834639272573792,33.39960238568588
APTV,0.9974414297502655,67.79324055666004
ACGL,0.6794665829022676,16.10337972166998
ADM,0.9037884279267505,53.08151093439364
ANET,1.32749545663081,92.04771371769384
AJG,0.8365869384935816,39.960238568588466
AIZ,0.8977249570030879,51.29224652087475
T,1.1880055710557538,88.27037773359841
ATO,1.0179986398933072,71.37176938369781
ADSK,1.0056189456697247,68.58846918489066
ADP,0.8887907323604981,48.70775347912525
AZO,1.1562375140056094,84.49304174950298
AVB,0.724986961915927,21.669980119284293
AVY,0.6489487382981672,10.73558648111332
AXON,1.6534109812216513,97.21669980119285
BKR,1.1713855592797005,86.67992047713717
BALL,0.6325446897722233,8.747514910536779
BAC,1.1047484112569768,80.11928429423459
BAX,0.5167512464762662,3.5785288270377733
BDX,0.692663247613137,16.898608349900595
BRK-B,0.9059481443752153,53.47912524850894
BBY,0.657085357685654,11.928429423459244
TECH,0.5827158409174373,5.566600397614314
BIIB,0.6108202238852928,7.75347912524851
BLK,1.0638023515841029,77.13717693836978
BX,1.025498904508923,71.96819085487077
XYZ,0.9483936873053619,60.039761431411534
BK,1.2847137208691433,91.25248508946322
BA,1.1585441139675006,85.2882703777336
BKNG,1.149447606951599,84.09542743538768
BSX,1.0107202092729302,70.17892644135189
BMY,0.8261436918672739,38.17097415506958
AVGO,1.8883970310968425,99.20477137176938
BR,0.9960856117387604,67.59443339960238
BRO,0.7466506030235122,25.646123260437374
BF-B,0.5029395029943882,2.584493041749503
BLDR,0.5953552130012658,6.958250497017893
BG,0.7472766668886018,26.043737574552683
BXP,0.8734465358639988,46.12326043737575
CHRW,1.151091904557111,84.29423459244532
CDNS,1.070236189208591,78.13121272365805
CZR,0.5355220296932091,4.3737574552683895
CPT,0.7539074173197765,27.236580516898606
CPB,0.5709255978008764,5.168986083499006
COF,1.3192872906712836,91.84890656063618
CAH,1.1407528267595974,82.90258449304176
KMX,0.6405516463410039,9.74155069582505
CCL,1.4581478044975649,95.2286282306163
CARR,0.6666262601015905,13.916500994035786
CAT,1.0664838350926968,77.73359840954275
CBOE,0.929937539732053,58.25049701789264
CBRE,1.1611719656342288,85.88469184890656
CDW,0.6357732261993836,8.946322067594433
COR,1.0506293743239803,75.14910536779324
CNC,0.3554316164516306,0.5964214711729622
CNP,1.148508266606558,83.89662027833002
CF,0.8998305159902654,52.087475149105366
CRL,0.6194869603539966,8.151093439363818
SCHW,1.2169591734042489,89.06560636182903
CHTR,0.6482886336543726,10.536779324055665
CVX,0.9799340420372472,65.4075546719682
CMG,0.5660820223471978,4.7713717693836974
CB,0.7960620728254946,35.387673956262425
CHD,0.7515860522960321,26.640159045725646
CI,0.7092383583908126,19.284294234592444
CINF,0.9653693615779751,63.41948310139165
CTAS,0.83036168984726,38.9662027833002
CSCO,1.1449240770154259,83.49900596421472
C,1.4742429430131352,95.62624254473161
CFG,1.1046135970824267,79.92047713717693
CLX,0.6609882643079975,12.72365805168986
CME,1.0482549227391047,74.55268389662028
CMS,0.8647846998586639,45.12922465208747
KO,0.8007705365895066,36.18290258449304
CTSH,0.7767128090786104,32.20675944333996
COIN,1.7008955519729418,98.01192842942345
CL,0.6713787325012506,14.910536779324055
CMCSA,0.7166376637122831,20.675944333996025
CAG,0.5195740463461651,3.7773359840954273
COP,0.7593689237437282,28.628230616302186
ED,0.7971592944887985,35.586481113320076
STZ,0.4585539461937274,1.9880715705765408
CEG,1.3603181223468188,93.24055666003976
COO,0.49992262965127104,2.3856858846918487
CPRT,0.7736947798457953,31.21272365805169
GLW,1.564657140452011,96.42147117296223
CPAY,0.8410211633427148,40.95427435387674
CTVA,1.0429818153915542,73.75745526838966
CSGP,0.980614853813181,65.60636182902584
COST,0.8986930946474087,51.689860834990064
CTRA,0.9304245598150829,58.64811133200796
CRWD,1.3953501278456393,94.43339960238568
CCI,0.6964922749125996,17.495029821073558
