Stock,Price,50 Day MA,150 Day MA,200 Day MA,52 Week Low,52 Week High,Returns_Multiple,RS_Rating,Status
WRB,73.1,70.64,69.16,66.64,54.76,75.77,1.11,80,✅ Passed Minervini
TDY,562.63,547.5,508.67,502.29,419.0,570.56,1.1,79,✅ Passed Minervini
IDXX,655.51,609.87,515.09,494.05,356.14,688.12,1.08,77,✅ Passed Minervini
ALLE,178.78,165.36,144.58,141.48,116.14,179.92,1.07,77,✅ Passed Minervini
LHX,282.73,271.78,238.77,232.59,190.25,286.81,1.07,76,✅ Passed Minervini
UBER,94.7,92.59,84.73,80.14,59.33,99.7,1.07,76,✅ Passed Minervini
LH,277.15,266.42,251.03,247.15,208.23,282.74,1.06,76,✅ Passed Minervini
MNST,64.64,61.99,60.09,57.75,45.7,67.13,1.06,76,✅ Passed Minervini
EA,173.17,164.06,151.01,149.01,114.77,180.7,1.05,75,✅ Passed Minervini
PH,755.7,737.42,670.62,668.87,485.92,779.77,1.04,73,✅ Passed Minervini
VLO,163.85,145.96,132.76,131.66,97.37,165.65,1.04,73,✅ Passed Minervini
APTV,85.37,74.25,66.96,65.32,47.19,85.57,1.03,70,✅ Passed Minervini
LDOS,187.15,173.07,153.29,152.04,122.65,200.78,1.03,71,✅ Passed Minervini
